Allele,EUR_freq
HLA-A0201,0.29604
HLA-A0101,0.17181
HLA-A0301,0.14347
HLA-A2402,0.08686
HLA-A1101,0.05642
HLA-A2902,0.03279
HLA-A3201,0.03133
HLA-A2601,0.02948
HLA-A6801,0.02503
HLA-A3101,0.02351
HLA-A2501,0.01925
HLA-A2301,0.01684
HLA-A3001,0.01341
HLA-A3301,0.00991
HLA-A3002,0.00921
HLA-A6802,0.00845
HLA-A0205,0.00801
HLA-A0302,0.00280
HLA-A6601,0.00261
HLA-A2901,0.00216
HLA-A0206,0.00197
HLA-A3303,0.00133
HLA-A2403,0.00108
HLA-A0202,0.00083
HLA-A6901,0.00076
HLA-A3004,0.00070
HLA-A0217,0.00051
HLA-A3402,0.00044
HLA-A2608,0.00038
HLA-A1104,0.00025
HLA-A3305,0.00025
HLA-A0224,0.00019
HLA-A0230,0.00019
HLA-A7403,0.00019
HLA-A0103,0.00013
HLA-A0213,0.00013
HLA-A0220,0.00013
HLA-A1105,0.00013
HLA-A0102,0.00006
HLA-A0116,0.00006
HLA-A0219,0.00006
HLA-A0305,0.00006
HLA-A0307,0.00006
HLA-A1102,0.00006
HLA-A2407,0.00006
HLA-A2426,0.00006
HLA-A2458,0.00006
HLA-A2502,0.00006
HLA-A2609,0.00006
HLA-A3102,0.00006
HLA-A3601,0.00006
HLA-A6803,0.00006
HLA-A6825,0.00006
HLA-A7401,0.00006
HLA-A0203,0.00000
HLA-A0204,0.00000
HLA-A0207,0.00000
HLA-A0210,0.00000
HLA-A0211,0.00000
HLA-A0212,0.00000
HLA-A0214,0.00000
HLA-A0216,0.00000
HLA-A0222,0.00000
HLA-A0242,0.00000
HLA-A0253,0.00000
HLA-A0260,0.00000
HLA-A0274,0.00000
HLA-A1103,0.00000
HLA-A1119,0.00000
HLA-A2305,0.00000
HLA-A2405,0.00000
HLA-A2408,0.00000
HLA-A2410,0.00000
HLA-A2414,0.00000
HLA-A2417,0.00000
HLA-A2420,0.00000
HLA-A2422,0.00000
HLA-A2425,0.00000
HLA-A2602,0.00000
HLA-A2603,0.00000
HLA-A2607,0.00000
HLA-A2612,0.00000
HLA-A3010,0.00000
HLA-A3104,0.00000
HLA-A3109,0.00000
HLA-A3112,0.00000
HLA-A3206,0.00000
HLA-A3401,0.00000
HLA-A3403,0.00000
HLA-A3405,0.00000
HLA-A3603,0.00000
HLA-A4301,0.00000
HLA-A6602,0.00000
HLA-A6603,0.00000
HLA-A6805,0.00000
HLA-A6807,0.00000
HLA-A6815,0.00000
HLA-A7409,0.00000
HLA-A7411,0.00000
HLA-A8001,0.00000
