,0
0,HPV1
1,HPV2
2,HPV3
3,HPV4
4,HPV5
5,HPV7
6,HPV8
7,HPV9
8,HPV10
9,HPV12
10,HPV14
11,HPV15
12,HPV16
13,HPV17
14,HPV18
15,HPV19
16,HPV20
17,HPV21
18,HPV22
19,HPV23
20,HPV24
21,HPV25
22,HPV27
23,HPV28
24,HPV29
25,HPV31
26,HPV32
27,HPV33
28,HPV34
29,HPV35
30,HPV36
31,HPV37
32,HPV38
33,HPV39
34,HPV41
35,HPV42
36,HPV45
37,HPV47
38,HPV48
39,HPV49
40,HPV50
41,HPV51
42,HPV52
43,HPV54
44,HPV56
45,HPV57
46,HPV58
47,HPV59
48,HPV60
49,HPV61
50,HPV65
51,HPV67
52,HPV68
53,HPV69
54,HPV70
55,HPV75
56,HPV76
57,HPV80
58,HPV88
59,HPV92
60,HPV93
61,HPV95
62,HPV96
63,HPV100
64,HPV132
65,HPV151
66,HPV197
