,virus,species,immunogenicity_count_1
0,HPV41,nu,211
1,HPV132,gamma12,211
2,HPV21,beta1,210
3,HPV48,gamma2,209
4,HPV60,gamma4,209
5,HPV88,gamma5,206
6,HPV24,beta1,206
7,HPV17,beta2,205
8,HPV95,gamma1,204
9,HPV8,beta1,203
10,HPV1,mu,202
11,HPV49,beta3,201
12,HPV15,beta2,201
13,HPV93,beta1,200
14,HPV197,gamma24,200
15,HPV100,beta2,199
16,HPV75,beta3,197
17,HPV25,beta1,197
18,HPV9,beta2,196
19,HPV51,alpha5,196
20,HPV76,beta3,195
21,HPV7,alpha8,195
22,HPV14,beta1,195
23,HPV80,beta2,194
24,HPV47,beta1,192
25,HPV69,alpha5,192
26,HPV20,beta1,192
27,HPV65,gamma1,191
28,HPV38,beta2,191
29,HPV39,alpha7,190
30,HPV37,beta2,189
31,HPV4,gamma1,188
32,HPV36,beta1,188
33,HPV151,beta2,187
34,HPV19,beta1,187
35,HPV16,alpha9,187
36,HPV70,alpha7,185
37,HPV68,alpha7,185
38,HPV12,beta1,183
39,HPV59,alpha7,183
40,HPV22,beta2,182
41,HPV61,alpha3,181
42,HPV50,gamma3,181
43,HPV27,alpha4,181
44,HPV18,alpha7,180
45,HPV5,beta1,180
46,HPV35,alpha9,180
47,HPV31,alpha9,179
48,HPV23,beta2,179
49,HPV2,alpha4,179
50,HPV57,alpha4,177
51,HPV56,alpha6,177
52,HPV52,alpha9,176
53,HPV29,alpha2,172
54,HPV28,alpha2,171
55,HPV92,beta4,170
56,HPV45,alpha7,166
57,HPV58,alpha9,166
58,HPV34,alpha11,166
59,HPV42,alpha1,166
60,HPV67,alpha9,161
61,HPV10,alpha2,161
62,HPV33,alpha9,154
63,HPV3,alpha2,153
64,HPV32,alpha1,153
65,HPV54,alpha13,151
66,HPV96,beta5,147
