,virus,species,immunogenicity_count_1,immunogenicity_count_sqrt,immunogenicity_count_n
0,HPV41,nu,211,262.2438875391656,350
1,HPV132,gamma12,211,256.3122845205381,329
2,HPV21,beta1,210,258.14421575633804,340
3,HPV48,gamma2,209,249.62014926776249,314
4,HPV60,gamma4,209,254.86505447990422,331
5,HPV88,gamma5,206,250.54835249803793,322
6,HPV24,beta1,206,253.9932028664381,335
7,HPV17,beta2,205,252.8292628484489,335
8,HPV95,gamma1,204,257.82440032150555,349
9,HPV8,beta1,203,253.08352192504134,338
10,HPV1,mu,202,241.83843727451338,306
11,HPV49,beta3,201,242.01924515248217,309
12,HPV15,beta2,201,243.01975578065435,312
13,HPV93,beta1,200,247.4972248592422,327
14,HPV197,gamma24,200,238.4926158706397,302
15,HPV100,beta2,199,241.14823535697414,312
16,HPV75,beta3,197,239.22003212669867,311
17,HPV25,beta1,197,241.65276315507725,316
18,HPV9,beta2,196,235.94901433570155,304
19,HPV51,alpha5,196,239.280957647953,314
20,HPV76,beta3,195,238.9309031751667,315
21,HPV7,alpha8,195,236.48141343238345,305
22,HPV14,beta1,195,241.1195270633104,319
23,HPV80,beta2,194,239.01386035392082,316
24,HPV47,beta1,192,233.2976726481836,299
25,HPV69,alpha5,192,231.47337426964836,296
26,HPV20,beta1,192,234.49392939359186,306
27,HPV65,gamma1,191,241.35373081962157,326
28,HPV38,beta2,191,226.6237673858014,285
29,HPV39,alpha7,190,233.61453238308636,308
30,HPV37,beta2,189,233.2694095512912,311
31,HPV4,gamma1,188,233.69348160465037,309
32,HPV36,beta1,188,230.5110944134671,303
33,HPV151,beta2,187,237.4587709346914,324
34,HPV19,beta1,187,232.6588252365246,310
35,HPV16,alpha9,187,233.6443225097447,313
36,HPV70,alpha7,185,222.98809771828297,287
37,HPV68,alpha7,185,224.82455918289102,291
38,HPV12,beta1,183,224.32298115349548,293
39,HPV59,alpha7,183,223.13786137640525,292
40,HPV22,beta2,182,234.65638498764037,327
41,HPV61,alpha3,181,223.38090354612186,293
42,HPV50,gamma3,181,228.88685405128925,309
43,HPV27,alpha4,181,221.89562217188325,292
44,HPV18,alpha7,180,222.12512226263686,293
45,HPV5,beta1,180,218.5870199294026,284
46,HPV35,alpha9,180,219.46753051788784,287
47,HPV31,alpha9,179,228.4620530015336,313
48,HPV23,beta2,179,220.4561001041984,291
49,HPV2,alpha4,179,221.43079159888646,291
50,HPV57,alpha4,177,215.4395597194805,279
51,HPV56,alpha6,177,216.1838390126459,285
52,HPV52,alpha9,176,216.44613242910012,283
53,HPV29,alpha2,172,207.14516786675694,266
54,HPV28,alpha2,171,204.39233878268462,258
55,HPV92,beta4,170,204.50672193769523,260
56,HPV45,alpha7,166,208.44149787759025,280
57,HPV58,alpha9,166,204.3996441646874,267
58,HPV34,alpha11,166,202.5198673569341,262
59,HPV42,alpha1,166,208.83644372690645,282
60,HPV67,alpha9,161,195.70710742931436,255
61,HPV10,alpha2,161,190.6079559589426,240
62,HPV33,alpha9,154,190.01073910762602,249
63,HPV3,alpha2,153,184.760793038504,237
64,HPV32,alpha1,153,189.73939012684306,252
65,HPV54,alpha13,151,189.53797851746904,253
66,HPV96,beta5,147,182.9850291197169,244
