,virus,species,immunogenicity_count_n
0,HPV41,nu,350
1,HPV95,gamma1,349
2,HPV21,beta1,340
3,HPV8,beta1,338
4,HPV17,beta2,335
5,HPV24,beta1,335
6,HPV60,gamma4,331
7,HPV132,gamma12,329
8,HPV22,beta2,327
9,HPV93,beta1,327
10,HPV65,gamma1,326
11,HPV151,beta2,324
12,HPV88,gamma5,322
13,HPV14,beta1,319
14,HPV25,beta1,316
15,HPV80,beta2,316
16,HPV76,beta3,315
17,HPV48,gamma2,314
18,HPV51,alpha5,314
19,HPV16,alpha9,313
20,HPV31,alpha9,313
21,HPV15,beta2,312
22,HPV100,beta2,312
23,HPV37,beta2,311
24,HPV75,beta3,311
25,HPV19,beta1,310
26,HPV4,gamma1,309
27,HPV49,beta3,309
28,HPV50,gamma3,309
29,HPV39,alpha7,308
30,HPV1,mu,306
31,HPV20,beta1,306
32,HPV7,alpha8,305
33,HPV9,beta2,304
34,HPV36,beta1,303
35,HPV197,gamma24,302
36,HPV47,beta1,299
37,HPV69,alpha5,296
38,HPV18,alpha7,293
39,HPV12,beta1,293
40,HPV61,alpha3,293
41,HPV59,alpha7,292
42,HPV27,alpha4,292
43,HPV68,alpha7,291
44,HPV2,alpha4,291
45,HPV23,beta2,291
46,HPV35,alpha9,287
47,HPV70,alpha7,287
48,HPV38,beta2,285
49,HPV56,alpha6,285
50,HPV5,beta1,284
51,HPV52,alpha9,283
52,HPV42,alpha1,282
53,HPV45,alpha7,280
54,HPV57,alpha4,279
55,HPV58,alpha9,267
56,HPV29,alpha2,266
57,HPV34,alpha11,262
58,HPV92,beta4,260
59,HPV28,alpha2,258
60,HPV67,alpha9,255
61,HPV54,alpha13,253
62,HPV32,alpha1,252
63,HPV33,alpha9,249
64,HPV96,beta5,244
65,HPV10,alpha2,240
66,HPV3,alpha2,237
