,virus,species,immunogenicity_count_sqrt
0,HPV41,nu,262.2438875391656
1,HPV21,beta1,258.14421575633804
2,HPV95,gamma1,257.82440032150555
3,HPV132,gamma12,256.3122845205381
4,HPV60,gamma4,254.86505447990422
5,HPV24,beta1,253.9932028664381
6,HPV8,beta1,253.08352192504134
7,HPV17,beta2,252.8292628484489
8,HPV88,gamma5,250.54835249803793
9,HPV48,gamma2,249.62014926776249
10,HPV93,beta1,247.4972248592422
11,HPV15,beta2,243.01975578065435
12,HPV49,beta3,242.01924515248217
13,HPV1,mu,241.83843727451338
14,HPV25,beta1,241.65276315507725
15,HPV65,gamma1,241.35373081962157
16,HPV100,beta2,241.14823535697414
17,HPV14,beta1,241.1195270633104
18,HPV51,alpha5,239.280957647953
19,HPV75,beta3,239.22003212669867
20,HPV80,beta2,239.01386035392082
21,HPV76,beta3,238.9309031751667
22,HPV197,gamma24,238.4926158706397
23,HPV151,beta2,237.4587709346914
24,HPV7,alpha8,236.48141343238345
25,HPV9,beta2,235.94901433570155
26,HPV22,beta2,234.65638498764037
27,HPV20,beta1,234.49392939359186
28,HPV4,gamma1,233.69348160465037
29,HPV16,alpha9,233.6443225097447
30,HPV39,alpha7,233.61453238308636
31,HPV47,beta1,233.2976726481836
32,HPV37,beta2,233.2694095512912
33,HPV19,beta1,232.6588252365246
34,HPV69,alpha5,231.47337426964836
35,HPV36,beta1,230.5110944134671
36,HPV50,gamma3,228.88685405128925
37,HPV31,alpha9,228.4620530015336
38,HPV38,beta2,226.6237673858014
39,HPV68,alpha7,224.82455918289102
40,HPV12,beta1,224.32298115349548
41,HPV61,alpha3,223.38090354612186
42,HPV59,alpha7,223.13786137640525
43,HPV70,alpha7,222.98809771828297
44,HPV18,alpha7,222.12512226263686
45,HPV27,alpha4,221.89562217188325
46,HPV2,alpha4,221.43079159888646
47,HPV23,beta2,220.4561001041984
48,HPV35,alpha9,219.46753051788784
49,HPV5,beta1,218.5870199294026
50,HPV52,alpha9,216.44613242910012
51,HPV56,alpha6,216.1838390126459
52,HPV57,alpha4,215.4395597194805
53,HPV42,alpha1,208.83644372690645
54,HPV45,alpha7,208.44149787759025
55,HPV29,alpha2,207.14516786675694
56,HPV92,beta4,204.50672193769523
57,HPV58,alpha9,204.3996441646874
58,HPV28,alpha2,204.39233878268462
59,HPV34,alpha11,202.5198673569341
60,HPV67,alpha9,195.70710742931436
61,HPV10,alpha2,190.6079559589426
62,HPV33,alpha9,190.01073910762602
63,HPV32,alpha1,189.73939012684306
64,HPV54,alpha13,189.53797851746904
65,HPV3,alpha2,184.760793038504
66,HPV96,beta5,182.9850291197169
