,HPV32,HPV42,HPV3,HPV10,HPV28,HPV29,HPV61,HPV2,HPV27,HPV57,HPV51,HPV69,HPV56,HPV18,HPV39,HPV45,HPV59,HPV68,HPV70,HPV7,HPV16,HPV31,HPV33,HPV35,HPV52,HPV58,HPV67,HPV34,HPV54,HPV5,HPV8,HPV12,HPV14,HPV19,HPV20,HPV21,HPV24,HPV25,HPV36,HPV47,HPV93,HPV9,HPV15,HPV17,HPV22,HPV23,HPV37,HPV38,HPV80,HPV100,HPV151,HPV49,HPV75,HPV76,HPV92,HPV96,HPV4,HPV65,HPV95,HPV48,HPV50,HPV60,HPV88,HPV132,HPV197,HPV1,HPV41
HPV32,inf,inf,0.5383458646616541,0.5254730713245997,0.5329341317365269,0.5423476968796433,0.5196374622356495,0.5182370820668692,0.5252679938744257,0.5190258751902588,0.5378670788253478,0.5432098765432098,0.5244648318042814,0.5491679273827534,0.5235920852359208,0.5382262996941896,0.5492307692307692,0.5375191424196019,0.5328244274809161,0.5960061443932412,0.5525114155251142,0.5672333848531684,0.5314900153609831,0.5685670261941448,0.5295902883156297,0.5276073619631901,0.5204855842185129,0.5274390243902439,0.5652173913043478,0.4055299539170507,0.4142194744976816,0.4179566563467492,0.40435458786936235,0.4117647058823529,0.4086687306501548,0.40902021772939345,0.42857142857142855,0.4105754276827372,0.4117647058823529,0.41112828438948995,0.43894899536321486,0.40307692307692305,0.4098613251155624,0.4107692307692308,0.4246153846153846,0.42746913580246915,0.40275650842266464,0.4102167182662539,0.41358024691358025,0.4188562596599691,0.42290076335877863,0.42615384615384616,0.4217791411042945,0.43098159509202455,0.42260061919504643,0.4369230769230769,0.4083850931677019,0.4108527131782946,0.41321044546851,0.3996937212863706,0.3707692307692308,0.38591117917304746,0.39908256880733944,0.3763440860215054,0.3738601823708207,0.4254658385093168,0.366412213740458
HPV42,inf,inf,0.5398496240601504,0.5283842794759825,0.5351270553064275,0.5411061285500748,0.5151057401812689,0.5137195121951219,0.5190839694656488,0.5206106870229008,0.5312977099236641,0.5447530864197531,0.5259146341463414,0.5454545454545454,0.5265553869499241,0.55895865237366,0.5430769230769231,0.5375191424196019,0.5297709923664122,0.6226993865030674,0.5614567526555387,0.5780525502318392,0.5260736196319018,0.563076923076923,0.5305810397553516,0.5352760736196319,0.5221374045801527,0.524390243902439,0.5610510046367851,0.4009216589861751,0.42040185471406494,0.4142194744976816,0.4126738794435858,0.41512345679012347,0.40615384615384614,0.4074074074074074,0.43797856049004597,0.40923076923076923,0.40615384615384614,0.41203703703703703,0.43797856049004597,0.40672782874617736,0.404320987654321,0.41131498470948014,0.423728813559322,0.4228395061728395,0.4058641975308642,0.4071207430340557,0.41358024691358025,0.42615384615384616,0.41437308868501527,0.43808049535603716,0.4345146379044684,0.43297380585516176,0.4276923076923077,0.43143297380585516,0.40310077519379844,0.4052388289676425,0.4098613251155624,0.3929663608562691,0.3834355828220859,0.3871951219512195,0.40150375939849625,0.3830769230769231,0.3744360902255639,0.4146341463414634,0.3525835866261398
HPV3,0.5383458646616541,0.5398496240601504,inf,inf,inf,inf,0.6167664670658682,0.6400602409638554,0.6430722891566265,0.6395173453996983,0.5045045045045045,0.5157894736842106,0.4940119760479042,0.5232383808095952,0.5134328358208955,0.5203007518796993,0.5201793721973094,0.5105421686746988,0.5203007518796993,0.5112443778110944,0.5429864253393665,0.5429864253393665,0.4807121661721068,0.545727136431784,0.5022556390977444,0.4962852897473997,0.49402985074626865,0.5299401197604791,0.5216741405082213,0.42232277526395173,0.4123867069486405,0.41363636363636364,0.40625,0.4123867069486405,0.4072398190045249,0.4108761329305136,0.41818181818181815,0.4199395770392749,0.4132730015082956,0.4189189189189189,0.41818181818181815,0.4369369369369369,0.4304932735426009,0.42081447963800905,0.4357034795763994,0.43267776096822996,0.4374057315233786,0.42771084337349397,0.4219219219219219,0.4229607250755287,0.4357034795763994,0.413946587537092,0.4246987951807229,0.4322289156626506,0.41906202723146746,0.43478260869565216,0.4341906202723147,0.4374057315233786,0.43288084464555054,0.4114977307110439,0.4,0.40813253012048195,0.38922155688622756,0.4077961019490255,0.40540540540540543,0.4397590361445783,0.3482810164424514
HPV10,0.5254730713245997,0.5283842794759825,inf,inf,inf,inf,0.5901162790697675,0.619533527696793,0.6306569343065693,0.6224489795918368,0.4949053857350801,0.487627365356623,0.4868421052631579,0.5109489051094891,0.49056603773584906,0.5255474452554745,0.5292397660818714,0.4948905109489051,0.4948905109489051,0.4782608695652174,0.5197657393850659,0.5197657393850659,0.47750362844702465,0.521865889212828,0.4970845481049563,0.492040520984081,0.49130434782608695,0.49637155297532654,0.4970845481049563,0.41021897810218977,0.4043478260869565,0.4046920821114369,0.4055232558139535,0.40762463343108507,0.4029197080291971,0.40702781844802344,0.4108187134502924,0.4057971014492754,0.41021897810218977,0.4148471615720524,0.4172767203513909,0.42105263157894735,0.41021897810218977,0.41021897810218977,0.4131386861313869,0.4131386861313869,0.4137426900584795,0.4171511627906977,0.4144927536231884,0.41836734693877553,0.4131386861313869,0.4192139737991266,0.4148471615720524,0.42358078602620086,0.41690962099125367,0.43085880640465796,0.41812865497076024,0.4195906432748538,0.41605839416058393,0.41244573082489144,0.36950146627565983,0.4131386861313869,0.3799126637554585,0.386066763425254,0.3988355167394469,0.42877906976744184,0.336676217765043
HPV28,0.5329341317365269,0.5351270553064275,inf,inf,inf,inf,0.6164179104477612,0.6502242152466368,0.6636771300448431,0.6438152011922503,0.5112781954887218,0.5037593984962406,0.49702380952380953,0.5261584454409567,0.5148809523809523,0.5232383808095952,0.5165165165165165,0.515015015015015,0.523168908819133,0.5044776119402985,0.5344311377245509,0.5368421052631579,0.4782608695652174,0.5320417287630402,0.5,0.4918032786885246,0.4873323397913562,0.5105105105105106,0.5238805970149254,0.40929535232383807,0.41467065868263475,0.40271493212669685,0.4020771513353116,0.41025641025641024,0.4030075187969925,0.40874811463046756,0.4197901049475262,0.4134328358208955,0.4150375939849624,0.41529235382308843,0.4101040118870728,0.4388059701492537,0.42857142857142855,0.4253731343283582,0.4330827067669173,0.431784107946027,0.43543543543543545,0.4189189189189189,0.4219219219219219,0.43243243243243246,0.43007518796992483,0.41348973607038125,0.41802067946824223,0.4343283582089552,0.4141566265060241,0.4289985052316891,0.4171686746987952,0.4272863568215892,0.42492492492492495,0.40963855421686746,0.3978978978978979,0.4197901049475262,0.39221556886227543,0.39552238805970147,0.3946980854197349,0.4427710843373494,0.3447761194029851
HPV29,0.5423476968796433,0.5411061285500748,inf,inf,inf,inf,0.6122754491017964,0.6401799100449775,0.6551724137931034,0.6381381381381381,0.5179640718562875,0.5135542168674698,0.5044776119402985,0.5290611028315947,0.5096870342771982,0.5269461077844312,0.5352323838080959,0.511177347242921,0.5156017830609212,0.5059701492537313,0.5352323838080959,0.5428571428571428,0.48291233283803864,0.5275707898658718,0.5082458770614693,0.4911504424778761,0.49325337331334335,0.5281899109792285,0.5139911634756995,0.4036144578313253,0.4117647058823529,0.4150375939849624,0.40444444444444444,0.41353383458646614,0.4075187969924812,0.4122938530734633,0.4170403587443946,0.4189189189189189,0.4171686746987952,0.4116766467065868,0.41540785498489424,0.4272863568215892,0.4175491679273828,0.41025641025641024,0.4200298953662182,0.4176646706586826,0.4193061840120664,0.4197901049475262,0.4255639097744361,0.4244712990936556,0.4200298953662182,0.42330383480825956,0.42771084337349397,0.4382530120481928,0.4189189189189189,0.42921013412816694,0.4229607250755287,0.4292168674698795,0.4238310708898944,0.4032983508245877,0.37821482602118,0.41654135338345866,0.39730134932533734,0.40718562874251496,0.4107946026986507,0.4421052631578947,0.3482810164424514
HPV61,0.5196374622356495,0.5151057401812689,0.6167664670658682,0.5901162790697675,0.6164179104477612,0.6122754491017964,inf,0.6270928462709284,0.6377473363774734,0.6234756097560976,0.5053110773899848,0.4947526236881559,0.4759036144578313,0.5187406296851574,0.4909365558912387,0.5128983308042488,0.5045731707317073,0.4886535552193646,0.5158371040723982,0.4888558692421991,0.5218045112781955,0.529500756429652,0.48406676783004554,0.5341426403641881,0.48489425981873113,0.47344461305007585,0.48103186646433993,0.4894578313253012,0.5151975683890577,0.3861236802413273,0.4,0.3915022761760243,0.394856278366112,0.39636913767019666,0.3915022761760243,0.3984848484848485,0.39908256880733944,0.3888048411497731,0.3903177004538578,0.391304347826087,0.39636913767019666,0.3930722891566265,0.3984732824427481,0.3816793893129771,0.4018264840182648,0.4063926940639269,0.39176829268292684,0.39064856711915535,0.4015267175572519,0.3774733637747336,0.3981762917933131,0.4020926756352765,0.4033485540334855,0.40853658536585363,0.4009146341463415,0.40425531914893614,0.41743119266055045,0.4166666666666667,0.4213740458015267,0.37936267071320184,0.37404580152671757,0.39209726443769,0.40819423368740515,0.3787878787878788,0.41515151515151516,0.42442748091603055,0.3532934131736527
HPV2,0.5182370820668692,0.5137195121951219,0.6400602409638554,0.619533527696793,0.6502242152466368,0.6401799100449775,0.6270928462709284,inf,inf,inf,0.5123076923076924,0.5122699386503068,0.5083969465648855,0.5151057401812689,0.5204855842185129,0.5290519877675841,0.5242424242424243,0.5090361445783133,0.5287009063444109,0.48120300751879697,0.5235204855842185,0.5504587155963303,0.4930875576036866,0.5214723926380368,0.5038167938931297,0.4938650306748466,0.49770992366412214,0.5045592705167173,0.517557251908397,0.4169230769230769,0.43538461538461537,0.42879256965944273,0.4201550387596899,0.4170542635658915,0.4195046439628483,0.4148606811145511,0.4254992319508449,0.413953488372093,0.43431221020092736,0.42857142857142855,0.42813455657492355,0.4148606811145511,0.423963133640553,0.4080370942812983,0.41550387596899224,0.41512345679012347,0.42089093701996927,0.4393241167434716,0.4147465437788018,0.4147465437788018,0.4187116564417178,0.41389728096676737,0.4230769230769231,0.42615384615384616,0.4055299539170507,0.44104134762633995,0.4182098765432099,0.4234930448222566,0.4406779661016949,0.4055727554179567,0.38235294117647056,0.40797546012269936,0.41013824884792627,0.38212634822804314,0.39663093415007655,0.4325153374233129,0.35823170731707316
HPV27,0.5252679938744257,0.5190839694656488,0.6430722891566265,0.6306569343065693,0.6636771300448431,0.6551724137931034,0.6377473363774734,inf,inf,inf,0.5215384615384615,0.5146831530139103,0.5053435114503817,0.5241691842900302,0.5235204855842185,0.5397553516819572,0.5290519877675841,0.5179640718562875,0.5317220543806647,0.48872180451127817,0.5356600910470409,0.5620214395099541,0.4915514592933948,0.5314900153609831,0.49923664122137407,0.4930875576036866,0.5053435114503817,0.5128983308042488,0.5236641221374045,0.4201550387596899,0.43846153846153846,0.4325581395348837,0.4228395061728395,0.4248062015503876,0.41975308641975306,0.4228395061728395,0.4252696456086287,0.4186046511627907,0.42746913580246915,0.4248062015503876,0.42,0.4241486068111455,0.4276923076923077,0.42089093701996927,0.4234930448222566,0.42725880551301687,0.4254992319508449,0.442572741194487,0.42073170731707316,0.42615384615384616,0.42194744976816073,0.4166666666666667,0.4166666666666667,0.4212121212121212,0.4086687306501548,0.4382716049382716,0.4323076923076923,0.4305555555555556,0.44838212634822805,0.4052795031055901,0.37422360248447206,0.4187116564417178,0.4067796610169492,0.3852080123266564,0.40797546012269936,0.4252696456086287,0.35823170731707316
HPV57,0.5190258751902588,0.5206106870229008,0.6395173453996983,0.6224489795918368,0.6438152011922503,0.6381381381381381,0.6234756097560976,inf,inf,inf,0.5246153846153846,0.522342064714946,0.50920245398773,0.518796992481203,0.524390243902439,0.5396341463414634,0.5320121951219512,0.5166666666666667,0.525679758308157,0.4842105263157895,0.5235204855842185,0.5421133231240429,0.4823348694316436,0.5153374233128835,0.5038167938931297,0.49157733537519144,0.49849397590361444,0.5159332321699545,0.5182926829268293,0.413312693498452,0.43653250773993807,0.42923076923076925,0.41358024691358025,0.40993788819875776,0.4074074074074074,0.4074074074074074,0.4279141104294479,0.4102167182662539,0.42967542503863987,0.423963133640553,0.4116743471582181,0.4195046439628483,0.4294478527607362,0.41576506955177744,0.42170542635658914,0.4305555555555556,0.4265842349304482,0.43846153846153846,0.42378048780487804,0.422360248447205,0.4263565891472868,0.41818181818181815,0.42153846153846153,0.43010752688172044,0.4098613251155624,0.4349157733537519,0.43209876543209874,0.4281298299845441,0.43343653250773995,0.401854714064915,0.3804347826086957,0.4153846153846154,0.4147465437788018,0.386748844375963,0.4119448698315467,0.4340490797546012,0.3526717557251908
