,HPV32,HPV42,HPV3,HPV10,HPV28,HPV29,HPV61,HPV2,HPV27,HPV57,HPV51,HPV69,HPV56,HPV18,HPV39,HPV45,HPV59,HPV68,HPV70,HPV7,HPV16,HPV31,HPV33,HPV35,HPV52,HPV58,HPV67,HPV34,HPV54,HPV5,HPV8,HPV12,HPV14,HPV19,HPV20,HPV21,HPV24,HPV25,HPV36,HPV47,HPV93,HPV9,HPV15,HPV17,HPV22,HPV23,HPV37,HPV38,HPV80,HPV100,HPV151,HPV49,HPV75,HPV76,HPV92,HPV96,HPV4,HPV65,HPV95,HPV48,HPV50,HPV60,HPV88,HPV132,HPV197,HPV1,HPV41
HPV32,inf,inf,2.0,3.0,3.0,4.0,0.0,1.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,3.0,5.0,6.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
HPV42,inf,inf,1.0,2.0,2.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,5.0,2.0,5.0,6.0,3.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
HPV3,2.0,1.0,inf,inf,inf,inf,12.0,22.0,22.0,20.0,2.0,2.0,3.0,3.0,5.0,4.0,6.0,3.0,2.0,2.0,3.0,8.0,3.0,10.0,2.0,3.0,4.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0
HPV10,3.0,2.0,inf,inf,inf,inf,15.0,20.0,24.0,22.0,5.0,1.0,4.0,3.0,3.0,7.0,9.0,2.0,6.0,1.0,6.0,11.0,3.0,9.0,4.0,6.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0
HPV28,3.0,2.0,inf,inf,inf,inf,7.0,21.0,24.0,27.0,3.0,3.0,6.0,4.0,3.0,5.0,6.0,2.0,4.0,2.0,5.0,10.0,3.0,9.0,3.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0
HPV29,4.0,3.0,inf,inf,inf,inf,5.0,24.0,24.0,19.0,6.0,4.0,6.0,5.0,3.0,8.0,6.0,1.0,5.0,1.0,6.0,9.0,3.0,7.0,4.0,6.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0
HPV61,0.0,0.0,12.0,15.0,7.0,5.0,inf,16.0,17.0,11.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,8.0,2.0,4.0,4.0,3.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
HPV2,1.0,2.0,22.0,20.0,21.0,24.0,16.0,inf,inf,inf,4.0,2.0,5.0,0.0,6.0,2.0,1.0,2.0,4.0,1.0,8.0,10.0,5.0,7.0,4.0,4.0,3.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0
HPV27,4.0,3.0,22.0,24.0,24.0,24.0,17.0,inf,inf,inf,4.0,2.0,5.0,0.0,5.0,2.0,2.0,1.0,2.0,2.0,9.0,11.0,2.0,7.0,3.0,4.0,4.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
HPV57,5.0,3.0,20.0,22.0,27.0,19.0,11.0,inf,inf,inf,5.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,7.0,8.0,1.0,5.0,4.0,2.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0
